"公司名","曾用名","联系电话","公司网站","法人","地址","简介__","简介____-","简介","注册资本","公司状态","工商注册号","组织机构代码","统一信用代码","公司类型","纳税人识别号","所属行业","人员规模","实缴资本","登记机关","参保人数","英文名","注册地址","经营范围","法人简介","执照实拍","当前企业网址","邮箱","注册时间","成立日期"
"重庆荣樽商贸有限公司","-","暂无","暂无","程在毅 ","重庆市沙坪坝区小龙坎新街99号13-6号",""," ","","100万人民币元","存续(在营、开业、在册)","500106000038960","76267758-7","91500106762677587U","有限责任公司(自然人独资)","91500106762677587U","房地产业","-","100万人民币元","重庆市工商行政管理局沙坪坝区分局","-","-","重庆市沙坪坝区小龙坎新街99号13-6号","销售:计算机及耗材、通讯器材(不含无线电发射及地面接收装置)、机电产品、日用百货(不含农膜)、珠宝首饰、服装、皮具、家具、家用电器、办公用品、劳保用品、文化体育用品及器材、五金交电、消防设备、环保设备、Ⅰ类医疗器械、汽车配件、摩托车配件、工程机械设备及配件、电力设备;投资信息咨询;货物进出口;计算机软件开发、技术推广;设计、制作、代理、发布国内外广告。(以上范围国家法律、法规禁止经营的不得经营;国家法律、法规规定应经审批而未获审批前不得经营)*","https://www.qichacha.com/pl_pf518b2516247ad2e6bc653ea9dca860.html","未上传","https://www.qichacha.com/firm_c132fd2e1d109083790494c5052a174d.html","暂无","2017-09-20","2004-06-28"
"重庆市永川区鸿利商贸有限公司","-","暂无","暂无","邓中涛 ","重庆市永川区萱花路81号",""," ","","10万人民币元","存续(在营、开业、在册)","500383000029209","74530763-X","-","有限责任公司","-","批发和零售业","-","10万人民币元","重庆市工商行政管理局永川区分局","-","-","重庆市永川区萱花路81号","煤矸石、日用百货、五金、交电销售。■","https://www.qichacha.com/pl_p839ce77db9a71548ba350a8ffb28f42.html","http://qccdata.qichacha.com/ECIScreen/f19abc6713c2a930ac758139936d104d/20170807203753116.png","https://www.qichacha.com/firm_f19abc6713c2a930ac758139936d104d.html","暂无","2011-09-16","2002-11-21"
"哈尔滨大皇宫酒店有限公司","-","暂无","暂无","王晓萍 ","哈尔滨市南岗区西大直街504号4层2号",""," ","","500万人民币元","存续（在营、开业、在册）","230100100060239","59849880-X","9123010059849880XG","有限责任公司(自然人投资或控股)","9123010059849880XG","住宿和餐饮业","-","500万人民币元","哈尔滨市市场监督管理局","-","-","哈尔滨市南岗区西大直街504号4层2号","旅馆业,洗浴服务,餐饮服务,烟草制品零售。","https://www.qichacha.com/pl_p3dfcacb709ede1f4ab0a19d6aee4ff4.html","http://qccdata.qichacha.com/ECIScreen/a105a52c87f91bd9504a71202b9478c6/20171221140727755.png","https://www.qichacha.com/firm_a105a52c87f91bd9504a71202b9478c6.html","261603759@qq.com","2017-12-11","2013-12-19"
"重庆洋世达物业管理有限公司南岸分公司","-","暂无","暂无","何长君 ","重庆市南岸区南坪街道福红路58号3栋",""," ","","-","存续(在营、开业、在册)","500108300107500","09629701-2","91500108096297012A","分公司","91500108096297012A","批发和零售业","-","-","重庆市工商行政管理局南岸区分局","-","-","重庆市南岸区南坪街道福红路58号3栋","物业管理服务壹级(按资质证书核定期限经营);游泳馆经营(须取得相应许可证后方可开展经营活动);茶座服务;商务信息咨询服务;房地产经纪;市场设施及摊位出租;健身服务;家政服务;服装干洗服务;小区园林绿化设计及施工;园林绿化养护;停车场管理服务;餐饮管理;会务服务;发布国内外广告;销售:日用杂品(不含烟花爆竹)、电子产品(不含电子出版物);安防设备、机械设备销售及相关技术服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。","https://www.qichacha.com/pl_pcad9dd612d9931ab00b86e0ffb2940a.html","未上传","https://www.qichacha.com/firm_80f1918fc13581970fab2cfafdb05862.html","ysdwg188@126.com","2018-06-06","2014-03-24"
"重庆市南川区辉腾置业顾问有限公司南大街分公司","-","暂无","暂无","李小华 ","重庆市南川区南城街道办事处钟楼街5号",""," ","","-","存续(在营、开业、在册)","500384300002536","-","91500119668908211E","分公司","91500119668908211E","房地产业","-","-","重庆市工商行政管理局南川区分局","-","-","重庆市南川区南城街道办事处钟楼街5号","房地产经纪;房地产咨询服务。(国家法律、法规禁止经营的不得经营;国家法律、法规规定需取得相关行政许可的取得许可后方可从事经营活动)*","https://www.qichacha.com/pl_p964400227d82763b65328006bfbb057.html","未上传","https://www.qichacha.com/firm_8adb4cc9e954db14d962403dcd93e4ca.html","暂无","2018-05-11","2007-11-05"
"泰安市华宇房地产信息咨询有限公司第一分公司","-","暂无","暂无","徐立新 ","山东省泰安市岱岳区泮河小镇商业区3号楼103户",""," ","","-","在营（开业）企业","-","-","91370900MA3M3BP40C","有限责任公司分公司(自然人投资或控股)","91370900MA3M3BP40C","租赁和商务服务业","-","-","泰安市岱岳区工商行政管理局","-","-","山东省泰安市岱岳区泮河小镇商业区3号楼103户","房地产信息咨询、房地产营销策划;房地产租赁代理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","https://www.qichacha.com/pl_prd4cd652d3674129b095f8ecc5c34a3.html","未上传","https://www.qichacha.com/firm_201a3f446cc1bd94fc3b00af9ee3790c.html","暂无","2018-07-03","2018-07-03"
"重庆六合房地产经纪有限公司大江三分公司","-","暂无","暂无","张怡 ","重庆市巴南区鱼洞黄溪街103号附7号",""," ","","-","存续(在营、开业、在册)","500113300096778","09122991-8","91500113091229918G","分公司","91500113091229918G","房地产业","-","-","重庆市工商行政管理局巴南区分局","-","-","重庆市巴南区鱼洞黄溪街103号附7号","房地产信息咨询;房地产营销策划;代办房屋交易手续。(依法须经批准的项目、经相关部门批准后方可开展经营活动)***","https://www.qichacha.com/pl_p6c2387ac31b12421723e321974467f3.html","未上传","https://www.qichacha.com/firm_2a2887e64a76f5ab429a79ccbf22a71e.html","654732081@qq.com","2017-05-15","2014-01-21"
"重庆协信控股集团远都房地产开发有限公司江北分公司","-","暂无","暂无","杨东 ","重庆市江北区洋河一路68号1幢26层",""," ","","-","存续(在营、开业、在册)","500105311362569","MA5YQJKQ-0","91500105MA5YQJKQ0J","分公司","91500105MA5YQJKQ0J","房地产业","-","-","重庆市工商行政管理局江北区分局","-","-","重庆市江北区洋河一路68号1幢26层","房屋销售。**【依法须经批准的项目,经相关部门批准后方可开展经营活动】","https://www.qichacha.com/pl_pfab8246f4e1698be75b2679d96cef09.html","未上传","https://www.qichacha.com/firm_23074d1f7bdce00ad9bf1beb0ce9fe61.html","暂无","2018-01-17","2018-01-17"
"广西今朝房地产开发有限公司","-","暂无","暂无","梁华 ","南宁市青秀区民族大道131号航洋国际城2号楼1502号"," ","","","3000万人民币元","存续（在营、开业、在册）","450000200012828","66703930-9","914501006670393099","有限责任公司(自然人投资或控股)","914501006670393099","房地产业","-","3000万人民币元","南宁市工商行政管理局","-","-","南宁市青秀区民族大道131号航洋国际城2号楼1502号","房地产开发经营(取得许可证后按许可证核定的资质等级、经营范围及有效期开展经营活动);房地产交易中介(取得经纪人资格备案后方可开展);建筑材料的购销代理(国家有专项规定除外)","https://www.qichacha.com/pl_p75b9296651d13a37b7ad2d737356d0f.html","http://qccdata.qichacha.com/ECIScreen/166d2c2d65d2af50d7aed9655ddf2a15/20171122004045466.png","https://www.qichacha.com/firm_166d2c2d65d2af50d7aed9655ddf2a15.html","13956692@qq.com","2015-08-10","2007-11-13"
"","","","","","","广西今朝房地产开发有限公司，该公司是广西专业从事房地产开发的知名品牌，具有先进的房地产开发理念和丰富的房地产成功开发经验，先后南宁、玉林、贺州等地成功开发了80多万平方米的大型生态社区。近年来在凭祥市行政新区建设了今朝国际花园房地产开发项目，占地152亩，计划投资4.5亿元人民币，规划总建筑面积25万平方米，近2000户。小区以现代法式建筑风格为主，包括住宅小区、商业街、会所、幼儿园、地下停车场等。整个项目充分利用项目得天独厚的自然景观","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"四川省泸州市长江建筑工程有限公司重庆巴南分公司","-","暂无","暂无","童晓刚 ","重庆市巴南区花溪红光新村1号14幢4单元6-3",""," ","","-","存续(在营、开业、在册)","500113300058286","07565112-3","915001130756511231","分公司","915001130756511231","建筑业","-","-","重庆市工商行政管理局巴南区分局","-","-","重庆市巴南区花溪红光新村1号14幢4单元6-3","从事建筑相关业务(凭相关资质执业)。(法律、法规禁止的不得经营,法律、法规限制的需取得许可或审批后经营)***","https://www.qichacha.com/pl_p20de476a9a991b1146a5ad3c829ba00.html","未上传","https://www.qichacha.com/firm_60ba9deb0f009c5ce57b31aee5a28d7f.html","暂无","2017-10-27","2013-08-12"
"重庆市水木箐华物业服务有限公司","-","暂无","暂无","白静 ","重庆市渝北区龙山路401号附2-2-1",""," ","","300万人民币元","存续(在营、开业、在册)","500112000042120","67867407-6","915001126786740767","有限责任公司","915001126786740767","信息传输、软件和信息技术服务业","-","50万人民币元","重庆市工商行政管理局渝北区分局","-","-","重庆市渝北区龙山路401号附2-2-1","物业管理;空调安装及维修;家政服务;房屋中介服务;房屋租赁;园林绿化服务;花草养护;销售:日用百货、水暖器材、装潢材料(不含危险化学品);停车服务;餐饮管理;劳务外包。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","https://www.qichacha.com/pl_p0ffa49e792853bcd436a1693407e174.html","http://qccdata.qichacha.com/ECIScreen/7be560b2622dcd98c16c047215294dd3/20180208094748252.png","https://www.qichacha.com/firm_7be560b2622dcd98c16c047215294dd3.html","2111834653@qq.com","2017-07-14","2008-09-03"
"重庆正和祥大药房连锁有限公司","-","暂无","http://cqttyy.com","王友军 ","重庆市渝北区龙溪街道红锦大道498号佳乐紫光1幢13-1(B区)、13-16、1...","\n                    重庆通天药业有限公司成立于2005年7月，注册资金500万元。是一家致力于中国健康产业发展的集药品批发、物流配送、连锁超市及医院投资管理为一体的现代化医药企业，公司许可经营范围：中药饮片、化学药制剂、化学原料药、抗生素、生化药品、保健品、化妆品、日用品、化工原料（不含危险化学品）、医疗器械。","","","3000万人民币元","存续(在营、开业、在册)","500112009347852","MA5UBA5N-0","91500112MA5UBA5N0Y","有限责任公司(法人独资)","91500112MA5UBA5N0Y","制造业","500-999人","-","重庆市工商行政管理局渝北区分局","-","-","重庆市渝北区龙溪街道红锦大道498号佳乐紫光1幢13-1(B区)、13-16、13-17","销售:化学药制剂、抗生素制剂、生化药品、中成药、中药材、中药饮片、生物制品(除疫苗)(按许可证核定的有效期限和范围从事经营);食品经营(取得相关行政许可后,在许可范围内从事经营活动);场地租赁;销售:Ⅰ类医疗器械、Ⅱ类医疗器械、卫生用品、隐形眼镜护理用品、健身器材、日化用品、消毒用品、日用百货、农副产品(国家有专项规定的除外)、化妆品、家用电器、五金、母婴用品(国家有专项规定的除外)、针纺织用品、办公用品、文体用品、美容美发用品、服装鞋帽、眼镜;企业形象及营销策划;图文设计制作;商务信息咨询;展览展示服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","https://www.qichacha.com/pl_p3a81693c7564ddfbf07e25503c1eb81.html","http://qccdata.qichacha.com/ECIScreen/4954802c43ec158d769ae6552c76bdff/20180515190720381.png","https://www.qichacha.com/firm_4954802c43ec158d769ae6552c76bdff.html","暂无","2018-06-20","2017-02-03"
"","","","","","","\n    通天人“十年磨一剑”，历经10载。现有办公面积750平米，规范库房面积5200平米，门店营业面积近10000平米，配送及交通车辆15辆。公司设有行政人事部、质量管理部、市场销售部、采购供应部、储运配送部、超市营运部、财务部等部门。现有药品超市50余家，综合门诊部1家，控股重庆容光医院、重庆渝大医院75%的股份。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    公司在管理过程中，始终坚持药品质量第一，严把质量关，得到了主管部门及合作伙伴的一致好评。曾多次荣获《渝北区药品安全示范单位》、《诚信药店》等称号，公司总部及直营药店（通天大药房）被所在区县药监局纳入示范样板药店，成为当地的窗口形象单位。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    我们以清晰的战略和有效的成本管理，以及务实的态度、创新的精神，不断提升公司综合竞争力，旨在打造百年品牌企业。并与三医大大坪医院、新桥医院、重医附二院、北京305医院等国内知名医学院校及医疗服务机构建立了深度战略合作关系，不断促进国内医疗资源整合品牌化、经营管理标准化、产业发展多元化。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    通天药业始终把人才作为核心，本着现代企业管理理念和人性化管理模式，坚持“以人为本、任人唯贤；重视人才、培养人才”的用人原则，建立了一套完善的、极具竞争力的人事管理体系，积极培养和任用高级医疗管理人才和高级医疗技术人才。同时，全力打造一支充满朝气、团结协作、勤学奋进，而又极富创新、勇于探索的团队。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    百舸争流，千帆竞渡。我们始终秉承“诚信做人、用心做事”理念，不断优化服务，提升品质，尊重人才，与客户、员工、合作伙伴携手共进，实现公司、员工、客户多方共赢的局面，让客户和员工一同分享企业的成功！并用心打造公司核心竞争力，志在成为颇具影响力的行业品牌医药企业，为中国老百姓的健康事业而不断追求、热诚奉献。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n通天药业经营理念及企业文化：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n        通天理念：诚信做人  用心做事","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n        通天使命：为提升老百姓的健康品质服务  为员工搭建人生价值的实现平台","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n        企业精神：自我超越  激流勇进","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n        价值观：   视人才为公司最大财富","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n        工作作风： 坚决执行  没有借口    坚守承诺  全力以赴","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n        座右铭：   有信心不一定会赢，没有信心一定会输","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n                   有行动不一定会成功，没有行动一定会失败","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n     “百德诚为先，百事信为本”，诚信是通天药业文化的核心。公司倡导诚实、诚信、丰富的人生，追求的价值在于有兴趣的工作、志趣相同的工作伙伴、健康的体魄、开放的心胸、乐观的精神，这种工作的过程往往比结果更重要，这些都是金钱所无法替代的价值。团队合作与强烈的责任心、事业心是公司力量不竭的源泉。一滴水只有放到大海里才永远不会干涸，一个人只有当他把自己和集体融合在一起的时候才最有力量。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n 通天药业用人理念：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n     在努力者面前，机会总是均等的，只要您不懈地努力，您的上司终会了解您。要承受得起做好事反受委屈，成功却被误解！“烧不死的鸟就是凤凰”，这是通天人对待委屈和挫折的态度和挑选干部的准则，没有一定的承受能力，今后如何能做大梁?其实一个人的命运，就掌握在自己手上。生活的评价，是会有误差的，但决不至于黑白颠倒，差之千里。要深信，在通天药业，是太阳总会升起，哪怕暂时还在地平线下。公司以共同目标和整体形象为前提，也倡导个性发挥，我期待着我们在这和谐的、富有梦想和激情的团队关系中创造价值，和公司一起成长。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n     我们崇尚雷锋、焦裕禄精神，我们呼唤英雄，并在公司的价值评价及价值分配体系中体现：决不让雷锋们、焦裕禄们吃亏，奉献者定当得到合理的回报。不让雷锋吃亏，本身就是创造让各路英雄脱颖而出的条件。雷锋精神与英雄行为的核心本质就是奉献。雷锋和英雄都不是超纯的人，也没有固定的标准，其标准是随时代变化的。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n     在通天药业，一丝不苟地做好本职工作就是奉献！就是英雄行为！就是雷锋精神！","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n通天药业员工福利及培养体系","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    员工基本福利：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n     1、公司拥有一套完整薪酬考核分配制度，既体现了“效率优先、兼顾公平”的考核分配原则，也体现了对内能留住人才，对外具有竞争性的特点。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n     2、公司为员工购买国家规定的五险；并提供带薪年假、公费旅游及生日礼金、红白喜事慰问金等优厚的各项福利。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    员工培养计划：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    1、入职培训：公司对新员工提供入职培训和上岗培训，对公司全方位的了解并认同企业文化，坚定自己的职业选择，理解并接受公司的共同语言和行为规范。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    2、在职培训：根据工作需要及个人职业发展需要，给予员工多层次的在职培训（内、外）机会。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    考核激励：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    每年进行绩效考核及优秀评选，对为公司发展做出重大贡献的员工，将给予一定的经济及福利奖励。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    职业发展计划：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n    对于脱颖而出的员工，公司提供了多种提升员工职务的方式及广阔的发展空间。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n公司地址及联系电话：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n通天药业：重庆市渝北区红锦大道498号佳乐紫光大厦13楼","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n王小姐：023-86787083  梁小姐：023-67857689    胡小姐：023-86812227","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n容光医院：重庆市北部新区大竹林商业街金竹路116号","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n张小姐：023-67035762","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n渝大医院：重庆市铜梁区巴川街道办事处龙门西街","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n张小姐：023-67035762   周小姐：023-45696192","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","\n简历投递邮箱：cqttyy@yeah.net\n                ","","","","","","","","","","","","","","","","","","","","","","",""
"重庆(香港)中原营销策划顾问有限公司金岭咨询部","-","暂无","http://www.centanet.com","肖仁启 ","重庆市北部新区金州大道11号附22号",""," ","","-","存续(在营、开业、在册)","500000500056039","56561431-7","915000005656143175","有限责任公司(台港澳法人独资)分公司","915000005656143175","信息传输、软件和信息技术服务业","-","-","重庆市工商行政管理局","-","-","重庆市北部新区金州大道11号附22号","房地产经纪、咨询、房地产市场咨询及物业管理咨询(涉及许可经营的凭许可证经营)。","https://www.qichacha.com/pl_p3f9dd9dbe9ab9a0e31723ca256ac89f.html","http://qccdata.qichacha.com/ECIScreen/dcb025c01e473409d0827f8dd5de2718/20180530115853020.png","https://www.qichacha.com/firm_dcb025c01e473409d0827f8dd5de2718.html","361344347@qq.com","2016-02-01","2010-11-22"
"重庆华润万家生活超市有限公司红岩店","-","暂无","暂无","谭谨 ","重庆市渝中区瑞天路184号",""," ","","-","存续(在营、开业、在册)","500103300047745","05988950-2","91500103059889502X","分公司","91500103059889502X","批发和零售业","-","-","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区瑞天路184号","零售:卷烟、雪茄烟(以上两项须经审批的经营项目,取得审批后方可从事经营);销售:日用百货、文具用品、体育用品、预包装食品、散装食品、乳制品(含婴幼儿配方乳粉)批发兼零售(以上三项须经审批的经营项目,取得审批后方可从事经营)、化妆品、五金交电、家用电器、避孕套、电子产品(不含电子出版物);珠宝(不含文物)、初级农产品、Ⅱ类医疗器械;金银饰品的加工、销售;人力装卸;摄影服务;洗染服务;设计、制作、代理、发布招牌、灯箱、展示牌、霓虹灯、电子翻版装置、充气装置、电子显示屏、车载广告;代理报刊、影视、广播广告;机械设备租赁。『依法须经批准的项目,经相关部门批准后方可开展经营活动』★★","https://www.qichacha.com/pl_p7e2d7f27c9974707dc90526a8fd0d1f.html","未上传","https://www.qichacha.com/firm_9322957e2a78f6901a639b3e3f41fe85.html","zhaomeng@crv.cn.com","2017-12-25","2013-01-10"
"重庆金首防水工程有限公司","-","暂无","http://www.cqjsfs.cn","廖进芝 ","重庆市渝中区大坪正街140号2幢1单元4-1#",""," ","","200万人民币元","存续(在营、开业、在册)","500103000389386","08632462-X","9150010308632462XD","有限责任公司","9150010308632462XD","建筑业","-","200万人民币元","重庆市工商行政管理局渝中区分局","-","-","重庆市渝中区大坪正街140号2幢1单元4-1#","从事建筑相关业务(取得相关行政许可后方可从事经营),销售建筑材料(不含危险化学品)『以上范围法律、法规、国务院决定禁止经营的不得经营;法律、法规、国务院决定规定应经审批而未获审批前不得经营』★★","https://www.qichacha.com/pl_p334a9dddca667f9d0f92941c92829ee.html","未上传","https://www.qichacha.com/firm_4c5c4facd352d2d2fc8c5f84257010b8.html","暂无","2015-11-27","2013-12-23"
"重庆华润万家生活超市有限公司江北五江路店","-","暂无","暂无","谭谨 ","重庆市江北区五江路9号",""," ","","-","存续(在营、开业、在册)","500105309384408","32044508-4","91500105320445084T","分公司","91500105320445084T","批发和零售业","-","-","重庆市工商行政管理局江北区分局","-","-","重庆市江北区五江路9号","预包装食品、散装食品、乳制品(含婴幼儿配方乳粉)(以上须经审批的经营项目,取得审批后方可从事经营);批发兼零售:卷烟零售、雪茄烟零售(须经审批的经营项目,取得审批后方可从事经营);书刊、音像制品零售;销售:日用百货(不含农膜)、日用杂品(不含烟花爆竹)、文具用品、体育用品、化妆品、五金交电、家用电器、计生用品、电子产品(不含电子出版物);珠宝、金、银制品的加工、销售;自有摊位出租;人力搬运;摄影及扩印;干洗服务;设计、制作、代理、发布:招牌、字牌、灯箱、展示牌、霓虹灯、电子翻版装置、充气装置、电子显示屏、车载广告;代理报刊广告、影视、广播广告及相关技术咨询、技术服务;销售:蔬菜、水果、水产品、肉禽、鸡蛋(须经审批的经营项目,取得审批后方可从事经营);销售:二类医疗器械、保健食品(须经审批的经营项目,取得审批后方可从事经营)、保健用品。**【依法须经批准的项目,经相关部门批准后方可开展经营活动】","https://www.qichacha.com/pl_p7e2d7f27c9974707dc90526a8fd0d1f.html","未上传","https://www.qichacha.com/firm_9b836b911f71864ae154b7313dc4e39a.html","暂无","2018-02-22","2014-11-13"
"重庆财逸酒店管理有限公司","-","暂无","暂无","邓静 ","重庆市九龙坡区杨家坪正街26号附1号1-91号"," ","","","1000万人民币元","存续(在营、开业、在册)","500107000144189","06054106-0","915001070605410605","有限责任公司","915001070605410605","租赁和商务服务业","100-499人","100万人民币元","重庆市工商行政管理局九龙坡区分局","-","-","重庆市九龙坡区杨家坪正街26号附1号1-91号","住宿服务,中餐类制售(不含凉菜、不含裱花蛋糕、不含生食海产品)(依法须经批准的项目,经相关部门批准后方可开展经营活动);酒店管理及咨询;销售:日用百货、小商品、工艺美术品(不含文物);代办机票、火车票;旅游信息咨询(不含旅行社业务);会议及展览服务;房屋租赁(不含住宿)。**[依法须经批准的项目,经相关部门批准后方可开展经营活动]","https://www.qichacha.com/pl_p62275f4b8f0fa869fb50652b48fa4dc.html","未上传","https://www.qichacha.com/firm_ac9a08d11e1fe8498baffa0678ebdb6f.html","417317750@qq.com","2017-11-27","2013-03-01"
"","","","","","","本公司是一家私营企业，从事酒店投资管理、咨询经营活动，本公司重庆有5家连锁酒店，现有员工200人，现按五星级装修新酒店一家，位于九龙坡区杨家坪步行街，预计9月开业，现拟招聘以下人员：","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 招聘职位：客房经理、前台值班经理、销售经理、早餐主厨、工程主管、网管、代客泊车驾驶员、工程维修人员、前厅服务员、客房服务员、保安","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 公司待遇：一试用期1个月，一经录用，公司包食宿，试用期满，办理员工社保","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
"重庆谈天说地餐饮管理有限公司","-","暂无","http://WWW.CQTTSD.COM","邹青松 ","重庆市渝北区镜泊西路99号附1号"," ","","","30万人民币元","存续(在营、开业、在册)","500903000051814","05170726-8","91500000051707268L","有限责任公司","91500000051707268L","住宿和餐饮业","50-99人","30万人民币元","重庆两江新区市场和质量监督管理局","-","ChongqingTantianShuodiCateringManagementCo.,Ltd.","重庆市渝北区镜泊西路99号附1号","茶座(按许可证核定的事项和期限从事经营)。**餐饮管理;批发、销售:日用品、茶具、家具、陶瓷制品、木制品、工艺美术品、家居饰品;棋牌出租。(以上经营范围国家法律、法规禁止经营的不得经营;应经审批而未获审批前不得经营)**","https://www.qichacha.com/pl_p8d194ea68b5a0c053cafd79273d8900.html","未上传","https://www.qichacha.com/firm_b4a71587fc914b97e20171fc5cd75a6e.html","1151075231@qq.com","2016-03-09","2012-08-06"
"","","","","","","元•郑德辉《五粲登楼》曰：“说地谈天口若开,伏虎降龙志不改”，谈天说地茶艺馆韵此意而生，意在给当代喧嚣都市中的性情中人提供一处谈笑有鸿儒，往来皆志士的休闲空间。 谈天说地是以秉承传播中国茶文化为使命，致力推广和复兴中华茶文化，以“中国的谈天说地，世界的茶传播者”为毕生追逐的梦想。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 谈天说地茶艺馆隶属于重庆茗扬茶文化产业集团公司，是一家集茶道、香道、茶艺培训、茶艺表演、书画、会议、各类茶器鉴赏等多元化相结合的综合型文化会馆。内设有演艺大厅、品茗包房、品香房、棋艺房、书画房、会议室、露天茶座等数十个不同风格的特色包房。营业面积达3000多平方米，环境优雅、宁静，是一个修身养性、品茗赏艺、商务交流的绝佳好去处。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 谈天说地茶艺馆在各界朋友的支持和帮助下迅速成长：2012年荣获“全国百佳茶馆”；2013年第四届亚洲茶人论坛荣获“两金一银”；2013年重庆第三届茶文化艺术节“天一祥”杯获得“最佳主题与艺术奖”；2014年初加入中华茶馆联盟，成为中华茶馆联盟理事单位，同时也是重庆市茶叶商会会员单位；会所并与多家院校签订了校外实训盟约，为重庆茶界培训茶专业人才。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," 中国茶文化博大精深，我们倍感任重而道远。坚持秉承“品质保证，服务专业，顾客满意”为宗旨。以“求仁为大，求利为小，真正服务为民众”为理念。坚定的为实现“中国的谈天说地，世界的茶传播者”这一伟大目标而不懈努力，书写一片新的绿色传奇。","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","",""," ","","","","","","","","","","","","","","","","","","","","","","",""
